exercise_id,exercise,family,card_level,primary_equipment,station_id,station_name,assigned_by,needs_review,note
EX001,Treadmill Walk,Run / Locomotion,Foundation,Treadmill,runner,Runner,equipment,yes,the floor calls its treadmill the Runner
EX002,Treadmill Run,Run / Locomotion,Progress,Treadmill,runner,Runner,equipment,yes,the floor calls its treadmill the Runner
EX003,Treadmill Interval Run,Run / Locomotion,Mastery,Treadmill,runner,Runner,equipment,yes,the floor calls its treadmill the Runner
EX004,SkiErg Technique Pull,SkiErg,Foundation,SkiErg,ski-erg,Ski Erg,equipment,no,
EX005,RowErg Technique Row,RowErg,Foundation,RowErg,row-erg,Row Erg,equipment,no,
EX006,SkiErg Intervals,SkiErg,Progress,SkiErg,ski-erg,Ski Erg,equipment,no,
EX007,RowErg Intervals,RowErg,Progress,RowErg,row-erg,Row Erg,equipment,no,
EX008,Light Sled Push,Sled Push,Foundation,Sled,sled-push,Sled Push,family,no,
EX009,Heavy Sled Push,Sled Push,Progress,Sled,sled-push,Sled Push,family,no,
EX010,Race-Load Sled Push after Run,Sled Push,Mastery,Sled,sled-push,Sled Push,family,no,
EX011,Light Sled Pull,Sled Pull,Foundation,Sled,sled-pull,Sled Pull,family,no,
EX012,Heavy Sled Pull,Sled Pull,Progress,Sled,sled-pull,Sled Pull,family,no,
EX013,Bodyweight Walking Lunge,Lunge,Foundation,Bodyweight,functional-floor,Functional Floor,equipment,yes,"bodyweight work needs open floor, not a machine"
EX014,Sandbag Walking Lunge,Lunge,Progress,Sandbag,sandbag-lunges,Sandbag Lunges,equipment,no,
EX015,Race-Pace Sandbag Lunge,Lunge,Mastery,Sandbag,sandbag-lunges,Sandbag Lunges,equipment,no,
EX016,Farmer Carry Light,Farmer Carry,Foundation,Kettlebell / Dumbbell,farmers-carry,Farmers Carry,family,no,the station exists for this family; its Kettlebell / Dumbbell tag was routing it to Free Weights
EX017,Farmer Carry Heavy,Farmer Carry,Progress,Kettlebell / Dumbbell,farmers-carry,Farmers Carry,family,no,the station exists for this family; its Kettlebell / Dumbbell tag was routing it to Free Weights
EX018,Race-Pace Farmer Carry,Farmer Carry,Mastery,Kettlebell / Dumbbell,farmers-carry,Farmers Carry,family,no,the station exists for this family; its Kettlebell / Dumbbell tag was routing it to Free Weights
EX019,Walking Farmer Carry with Direction Cues,Farmer Carry,Mastery,Kettlebell / Dumbbell,farmers-carry,Farmers Carry,family,no,the station exists for this family; its Kettlebell / Dumbbell tag was routing it to Free Weights
EX020,Sumo Squat,Squat,Foundation,Bodyweight,functional-floor,Functional Floor,equipment,yes,"bodyweight work needs open floor, not a machine"
EX021,Squat,Squat,Progress,Bodyweight,functional-floor,Functional Floor,equipment,yes,"bodyweight work needs open floor, not a machine"
EX022,Wall Ball,Squat,Mastery,Wall Ball,wall-balls,Wall Balls,exercise,no,"Wall Ball is the Squat family's Mastery rung, but it is thrown at the wall-ball target"
